Keiko Matsuzaka,32.0
Justin Lo,22.0
Johnny Delgado,48.0
John Koyama,37.0
Joey Miyashima,47.0
Hiep Thi Le,31.0
Thi Hai Yen Do,23.0
David Wu,34.0
Clyde Kusatsu,50.0
Christopher Larkin,25.0
Chae An,32.0
Yuya Ozeki,6.0
Yu Xia,29.0
Vickie Eng,40.0
Terry Chen,29.0
Takashi Shimizu,32.0
Shiho Fujimura,21.0
Ric Young,49.0
Petchtai Wongkamlao,43.0
Michiyo Nakajima,23.0
Masaya Katô,33.0
Masanobu Andô,26.0
Ye Liu,30.0
Keye Luke,56.0
Keone Young,45.0
Karen Kim,27.0
Kaori Manabe,24.0
Jodi Long,34.0
James Wong,42.0
James Saito,52.0
Hayato Ichihara,20.0
Haing S. Ngor,37.0
Chia-Hui Liu,42.0
Freda Foh Shen,42.0
Eun-ju Lee,25.0
Elizabeth Sung,45.0
Burt Kwouk,64.0
Aya Kawai,22.0
William Hung,21.0
Takashi Matsuyama,48.0
Gregg Araki,37.0
Elizabeth Thai,28.0
Anne Suzuki,18.0
Takako Fuji,23.0
Kôji Yakusho,44.0
Eugenia Yuan,31.0
Victoria Young,25.0
Takuma Sato,33.0
Michelle Goh,26.0
Takeshi Kitano,50.0
Shin'ichi Chiba,44.0
Rosalind Chao,30.0
Amazin LeThi,27.0
Ai Sugiyama,34.0
Sumi Jo,33.0
Ami Suzuki,26.0
Irene Wan,26.0
Ji-yoon Park,20.0
Adia Chan,29.0
Steve Park,41.0
Masaki Aiba,24.0
Nami Orihara,19.0
Mirei Kuroda,23.0
Mie Nanamori,24.0
Mai Hagiwara,20.0
Ling Tan,26.0
Lina So,29.0
Kei Hoshiko,23.0
Jun Kusanagi,25.0
Hanai Kayama,20.0
Amy Lee Chen,24.0
John Woo,46.0
Benny Chan,33.0
Mieko Harada,32.0
Sally Yoshino,20.0
Cathy Tsui,28.0
Sylvia Chang,44.0
Shirley Kwan,34.0
Zoe Tay,29.0
Yuriko Ishida,24.0
Yumiko Shaku,22.0
