name,real_age,faceapi_age,dif
Edward Norton,50,39,-11
Dwight Yoakam,63,40,-23
Drew Barrymore,44,34,-10
Diane Lane,54,34,-20
Diane Kruger,43,30,-13
Denise Richards,48,36,-12
Danielle Fishel,38,33,-5
Daniel Radcliffe,30,27,-3
Daniel Craig,51,42,-9
Dakota Fanning,25,25,0
Courtney Thorne-Smith,52,36,-16
Courteney Cox,55,41,-14
Clint Eastwood,89,54,-35
Claire Forlani,48,36,-12
Cindy Crawford,53,42,-11
Christina Ricci,39,31,-8
Christina Aguilera,39,28,-11
Chris Martin,42,32,-10
Charlie Sheen,54,49,-5
Charlie Hunnam,39,35,-4
Channing Tatum,39,33,-6
Chad Michael Murray,38,34,-4
Catherine Zeta-Jones,50,31,-19
Catherine Bell,51,30,-21
Brooke Shields,54,41,-13
Brittany Snow,33,29,-4
Brigitte Nielsen,56,47,-9
Bret Michaels,56,43,-13
Beverly D'Angelo,68,39,-29
Bettie Page,11,33,22
Ben Affleck,47,41,-6
Barbra Streisand,77,35,-42
Ashley Olsen,33,24,-9
Ashley Judd,51,35,-16
Anthony Kiedis,57,33,-24
Ann-Margret,78,28,-50
Anna Paquin,37,33,-4
Anna Kournikova,38,31,-7
Aly Michalka,30,25,-5
Ali MacGraw,80,28,-52
Alexis Bledel,38,32,-6
Al Pacino,79,50,-29
Adam Brody,40,30,-10
Aaron Carter,32,31,-1
Matthew Perry,50,44,-6
Elizabeth Hurley,54,32,-22
Kate Moss,45,32,-13
Helena Christensen,51,36,-15
Bobbie Brown,50,25,-25
Gisele Bündchen,39,34,-5
Brittany Daniel,43,33,-10
Matthew McConaughey,50,46,-4
Keith Urban,52,37,-15
David Spade,55,45,-10
Tommy Lee,57,44,-13
Richie Sambora,60,36,-24
Michael Bolton,66,47,-19
Val Kilmer,60,33,-27
Penélope Cruz,45,33,-12
Nicole Kidman,52,34,-18
Heather Locklear,58,28,-30
Cher,73,27,-46
Logan Paul,24,26,2
Serkan Çayoğlu,32,30,-2
Hande Ercel,26,25,-1
Sofia Carson,26,23,-3
Joshua Dun,31,26,-5
Abigail Ratchford,27,28,1
Meadow Walker,5,23,18
Luisa Zissman,32,33,1
Jai Brooks,24,18,-6
Teo Halm,20,19,-1
Bella Hadid,23,31,8
Ansel Elgort,25,22,-3
Ronnie Radke,36,29,-7
Grace Helbig,34,33,-1
Zedd (producer),30,26,-4
Iggy Azalea,29,28,-1
Martina Stoessel,22,26,4
Olivia Culpo,27,28,1
Pierson Fode,28,28,0
Lucy Collett,30,24,-6
Andressa Urach,32,32,0
Aryane Steinkopf,32,24,-8
Mãdãlina Ghenea,32,32,0
Rebecca Mir,28,24,-4
Gizem Karaca,27,23,-4
Courtney Stodden,25,30,5
Mac Miller,1,30,29
Grigor Dimitrov,28,29,1
Halston Sage,26,23,-3
Farah Zeynep Abdullah,30,27,-3
Brenton Thwaites,30,25,-5
Kira Kosarin,22,27,5
Cher Lloyd,26,24,-2
Suki Waterhouse,27,23,-4
Morgana McNelis,5,27,22
Ibrahim Celikkol,37,34,-3
Grant Gustin,29,30,1
Selen Soyder,33,26,-7
Nina Agdal,27,28,1
Ruth Kearney,6,32,26
Pippa Middleton,36,34,-2
Charlotte Mckinney,26,25,-1
Maisie Williams,22,20,-2
Rose Leslie,32,29,-3
Kadir Dogulu,6,31,25
Daniela Katzenberger,33,32,-1
Tim Tebow,32,30,-2
Aletta Ocean,32,30,-2
Natalia Siwiec,36,34,-2
Chandler Riggs,20,24,4
Josh Bowman,31,29,-2
Emily Ratajkowski,28,25,-3
Rosanna Pansino,34,30,-4
Ciara Bravo,22,20,-2
Jai Courtney,33,32,-1
Richard Madden,33,32,-1
St. Vincent,37,30,-7
Nur Fettahoglu,39,31,-8
Derek Theler,33,30,-3
Chris Wood,31,29,-2
Halit Ergenç,49,40,-9
Miles Teller,32,31,-1
Daren Kagasoff,32,26,-6
Erin Heatherton,30,27,-3
Genevieve Hannelius,21,18,-3
Hailey Bieber,23,27,4
Madison Welch,31,26,-5
Zoey Deutch,25,23,-2
Chris Colfer,29,23,-6
Jessie James Decker,31,32,1
Lucas Cruikshank,26,19,-7
Mackenzie Foy,19,23,4
Ruby Rose,33,25,-8
Eleanor Calder,27,23,-4
Taylor Schilling,35,34,-1
Katherine McNamara,24,25,1
Ryan Rottman,35,30,-5
Marie Avgeropoulos,33,30,-3
Emily Kinney,34,23,-11
Zaira Nara,31,25,-6
Dafina Zeqiri,30,27,-3
Francoise Boufhal,31,25,-6
Xavier Samuel,36,23,-13
Pixie Lott,28,29,1
Chris Zylka,34,27,-7
Hadise,34,29,-5
Shane Dawson,31,30,-1
Emily DiDonato,28,25,-3
Luke Pasqualino,29,31,2
Ximena Duque,34,24,-10
Deadmau5,38,38,0
David Paul Olsen,9,32,23
Adam Lambert,37,29,-8
Max Carver,31,30,-1
Helena Seger,38,33,-5
Nadya Suleman,44,31,-13
Bridget Regan,37,36,-1
Simone Simons,34,31,-3
DJ Ashba,47,30,-17
Jennifer Nicole Lee,44,30,-14
Trace Cyrus,30,28,-2
Karlie Kloss,27,27,0
Abbey Lee,32,21,-11
Heidi Watney,38,26,-12
Justin Gaston,31,30,-1
Alison Mosshart,41,30,-11
Mélanie Laurent,36,33,-3
Bristol Palin,29,33,4
Shelley Hennig,32,29,-3
Gerard Piqué,32,28,-4
Darya Astafeva,34,31,-3
Geneviève Grad,75,24,-51
Ryan Newman,21,25,4
Toni Garrn,27,30,3
Caitriona Balfe,40,31,-9
Georgia Moffett,35,25,-10
Paolla Oliveira,37,30,-7
Tom Daley,25,22,-3
Rosie Jones,29,27,-2
Justin Brescia,37,33,-4
Georgia Jagger,27,26,-1
Doug Reinhardt,35,33,-2
Lindsay Ellingson,35,25,-10
David Gandy,39,37,-2
Filiz Ahmet,38,31,-7
Dylan Sprayberry,21,25,4
Danielle Campbell,24,30,6
Sierra McCormick,22,21,-1
Shawn Johnson,27,30,3
Skylar Astin,32,30,-2
Brandi Love,46,33,-13
Tori Black,31,28,-3
Kenton Duty,24,19,-5
Trisha Paytas,31,31,0
Stefanie Scott,23,23,0
Kayden Kross,34,30,-4
Melissa Benoist,31,26,-5
Alicia Vikander,31,30,-1
Jacqueline MacInnes Wood,32,25,-7
Shane Harper,26,25,-1
Cody Longo,31,28,-3
