name,real_age,faceapi_age,dif
Yoshiki,54,33,-21
Steve Aoki,42,29,-13
Elva Hsiao,40,23,-17
Shizuka Kudô,49,29,-20
Justin Chon,38,19,-19
Tomoya Nagase,41,27,-14
Akiko Wakabayashi,78,25,-53
Aaron Yoo,40,25,-15
Tenzing Norgay,33,36,3
Tirso Cruz III,66,49,-17
Lynn Chen,43,29,-14
Kun Chen,43,30,-13
Kellye Nakahara,69,41,-28
Kathleen De Leon,42,28,-14
Jason Chan,48,26,-22
Gwendoline Yeo,42,28,-14
Phillip Rhee,59,32,-27
Ko Shibasaki,38,23,-15
James Wan,42,30,-12
Hiroko Satô,34,21,-13
Valerie Tian,30,22,-8
Toshirô Mifune,22,42,20
Emy Coligado,48,30,-18
Dante Basco,44,30,-14
Lisa Ling,46,36,-10
Joseph Hahn,42,31,-11
Eddie Garcia,90,61,-29
Cathy Shim,39,29,-10
SuChin Pak,43,28,-15
Karl Yune,44,27,-17
Brian Tee,42,34,-8
BD Wong,59,31,-28
Priscilla Chan,34,28,-6
Nicky Wu,49,22,-27
Irina Pantaeva,52,32,-20
The Dalai Lama,84,66,-18
Carina Lau,54,35,-19
Yôko Mitsuya,35,21,-14
Sara Tanaka,41,27,-14
Ruby Lin,43,24,-19
Rina Uchiyama,38,23,-15
Miho Yabe,42,24,-18
Kristy Wu,37,28,-9
Gigi Leung,43,24,-19
Fiona Xie,37,23,-14
Athena Chu,48,27,-21
Ann Kok,46,26,-20
Aki Maeda,34,23,-11
Yutaka Takenouchi,48,31,-17
Donnie Yen,56,36,-20
Robin Shou,59,33,-26
David Chiang,-7330,29,7359
Louis Koo,49,30,-19
Leslie Cheung,16,32,16
John Lone,67,34,-33
James Shigeta,5,33,28
Hideaki Takizawa,37,21,-16
Chae-young Han,39,22,-17
Dustin Nguyen,57,34,-23
Cary-Hiroyuki Tagawa,69,50,-19
Sabrine Maui,39,26,-13
Robert Ito,88,47,-41
Thuy Trang,18,27,9
Braxton Olita,34,26,-8
Pat Morita,14,64,50
Nanako Matsushima,46,23,-23
Miho Nakayama,49,28,-21
Kristi Yamaguchi,48,32,-16
Keiko Agena,46,34,-12
Gladys Reyes,41,29,-12
Francis Ng,58,36,-22
Ferdinand Marcos,30,45,15
Faye Wong,50,29,-21
Akira Fuse,72,34,-38
Eric Michael Zee,23,36,13
Ming Yao,39,30,-9
Kurara Chibana,37,24,-13
Jasmine Trias,33,27,-6
Will Yun Lee,48,37,-11
Ken Watanabe,60,42,-18
Seo Joon Park,31,20,-11
Suzuka Nakamoto,22,19,-3
So Min Jung,30,19,-11
Soo-hyuk Lee,31,24,-7
Yoon Bora,30,20,-10
Gretchen Ho,29,26,-3
Fille Cainglet,29,21,-8
Fei Fei,30,21,-9
Yves Flores,25,17,-8
Chinami Suzuki,30,23,-7
Karen Reyes,23,23,0
Kim Woo Bin,30,25,-5
Kiko Estrada,27,20,-7
Angie Vu Ha,32,28,-4
Nana (singer),28,22,-6
Tae-young Ki,41,28,-13
Ailee,30,20,-10
Jessica (entertainer),30,20,-10
Nam Ji-hyun,29,19,-10
Jurina Matsui,22,22,0
Kim Sae-ron,19,19,0
Hyun-Woo Lee,26,19,-7
Myrtle Sarrosa,25,19,-6
Dominic Roque,29,18,-11
Lee Heyford,8,32,24
Soo Hyun Kim,31,21,-10
Slater Young,32,30,-2
Lee Joon Hyuk,35,26,-9
Andrea Brillantes,16,11,-5
Mi Yang,33,24,-9
Chae-rin Lee,28,24,-4
James Bimby Aquino,12,7,-5
Manami Higa,33,22,-11
Joon-hyung Yong,30,21,-9
Joon Lee,31,22,-9
Park Si-Hoo,41,25,-16
Hyoyeon,30,25,-5
Moon Chae-won,33,25,-8
Jonghyun,2,20,18
Jay Park,32,21,-11
Ji-Yeon Park,26,21,-5
Ha-Ra Goo,28,21,-7
Yuya Matsushita,29,22,-7
Jung Il Woo,32,21,-11
Park Hae Jin,36,24,-12
Yuja Wang,32,23,-9
Seohyun,28,23,-5
Dae-Sung Kang,30,21,-9
Lia Cruz,34,24,-10
Amber Liu,27,20,-7
Victoria Song,32,21,-11
Seung-Hyun Lee,29,23,-6
Sooyoung,29,23,-6
Kana Nishino,30,20,-10
Yuri Kwon,30,21,-9
Yuzuru Hanyu,25,15,-10
Runa Akasaka,52,34,-18
Mary Kom,36,27,-9
Alexander Wang (designer),36,25,-11
Damiana Eugenio,5,14,9
Go Ara,29,20,-9
Kana Hanazawa,30,23,-7
Riko Tachibana,35,23,-12
Tablo,39,23,-16
Ryeo-wook Kim,32,19,-13
Kyu-hyun Cho,31,23,-8
Lee Ha-nui,36,24,-12
Leeteuk,36,24,-12
Eunhyuk,33,23,-10
Saya Misaki,12,22,10
Hee-chul Kim,36,21,-15
Dolzura Cortez,27,29,2
Mami Matsuyama,31,21,-10
Azusa Hibino,29,7,-22
Kim Bum Soo,40,22,-18
Rui En,38,28,-10
Jeong-hwa Eom,50,26,-24
Ae-ra Shin,50,29,-21
Nana Keum,36,27,-9
Ryu Shi-won,47,26,-21
Erika Fong,5,27,22
Sandra Cho,10,29,19
Ah-in Yoo,33,19,-14
Edgar Allan Guzman,30,24,-6
Min-ki Lee,34,24,-10
Renz Fernandez,34,29,-5
Godfrey Kao,35,28,-7
Yeo-Jeong Jo,38,23,-15
Martin del Rosario,28,23,-5
Alex Medina,33,20,-13
Tae-Hwan Park,30,23,-7
Paco Arespacochaga,48,31,-17
Soo-Jin Park,34,20,-14
Ee-cheol Jeong,34,27,-7
Ja-yun Jang,10,23,13
Tian Jing,31,22,-9
Richard Poon,46,30,-16
Mark Lapid,39,37,-2
Mar Roxas,62,56,-6
Lynn Xiong,39,25,-14
Kamui Kobayashi,33,32,-1
Justin Cuyugan,7,25,18
Cheska Ortega,27,19,-8
Hyun-Jung Go,48,26,-22
Angeli Gonzales,25,19,-6
Arnel Pineda,52,33,-19
Robi Domingo,30,23,-7
Daisuke Takahashi,33,25,-8
Patrick Chan,29,24,-5
Mirai Nagasu,26,16,-10
Amanda Evora,35,26,-9
Yiruma,41,30,-11
Julian Estrada,23,19,-4
Matthew Moy,35,24,-11
Brianne Tju,21,18,-3
Poh Ling Yeow,46,29,-17
Renz Valerio,21,12,-9
Katee Shean,14,20,6
Erina Yamaguchi,34,23,-11
Paradorn Srichaphan,40,31,-9
Nao Nagasawa,35,25,-10
Dea-Seung Kang,32,22,-10
